file	 duration	 num_events	 polyphony_max	 polyphony_gini	 reverb	 avg_snr	 avg_time_stretch	 avg_pitch_shift	noise_rating	running_time
soundscape_a86.wav	270.0	38	2	0.272897	0.0	25.844224	1.004147	0.037365	893.3673749999981	142132.407
soundscape_a87.wav	270.0	52	4	0.323621	0.0	25.444098	0.994356	-0.018964	1428.2213000000015	146653.693
soundscape_a88.wav	270.0	14	1	0.133414	0.0	27.279533	1.060307	-0.190351	378.84108333333427	84187.586
soundscape_a89.wav	270.0	41	3	0.262641	0.0	26.747919	1.053718	0.132403	1172.2032583333314	127149.339
soundscape_a9.wav	30.0	41	11	0.590653	0.0	28.383988	0.992733	0.361002	457.34920000000034	23933.894
soundscape_a90.wav	300.0	13	2	0.099882	0.0	27.466217	0.979972	0.003321	615.8827750000023	81070.716
soundscape_a91.wav	300.0	33	3	0.220239	0.0	23.630422	0.965908	-0.089	806.7820416666675	122611.217
soundscape_a92.wav	300.0	55	3	0.361355	0.0	26.00689	0.99038	0.070724	1398.2109749999954	174136.831
soundscape_a93.wav	300.0	40	3	0.235304	0.0	26.684152	0.993658	0.057161	734.4655833333344	142939.336
soundscape_a94.wav	300.0	58	3	0.390281	0.0	25.597067	1.000169	0.057875	1403.6828250000033	178697.649
soundscape_a95.wav	300.0	49	3	0.323182	0.0	24.816403	0.987963	0.236394	1215.946333333328	168753.171
soundscape_a96.wav	300.0	59	4	0.321288	0.0	25.310844	1.00109	0.003363	1338.2576750000014	163720.84
soundscape_a97.wav	300.0	56	4	0.294106	0.0	23.440801	0.991708	-0.023709	1450.1416083333313	164528.231
soundscape_a98.wav	300.0	27	3	0.207417	0.0	29.390128	0.994745	-0.190474	829.9610583333308	117628.125
soundscape_a99.wav	300.0	15	1	0.143406	0.0	33.511657	1.014421	0.398929	448.26892500000235	102702.554
